earlier	later	earlier_name	later_name	relation
CL:0000906	CL:0000919	activated CD8-positive, alpha-beta T cell	CD8-positive, CD25-positive, alpha-beta regulatory T cell	develops from
CL:0000906	CL:0000920	activated CD8-positive, alpha-beta T cell	CD8-positive, CD28-negative, alpha-beta regulatory T cell	develops from
CL:0000906	CL:0000908	activated CD8-positive, alpha-beta T cell	CD8-positive, alpha-beta cytokine secreting effector T cell	develops from
CL:0000906	CL:0000794	activated CD8-positive, alpha-beta T cell	CD8-positive, alpha-beta cytotoxic T cell	develops from
CL:0000906	CL:0001203	activated CD8-positive, alpha-beta T cell	CD8-positive, alpha-beta memory T cell, CD45RO-positive	develops from
CL:0000931	CL:0000932	activated type II NK T cell	type II NK T cell secreting interferon-gamma	develops from
CL:0000931	CL:0000933	activated type II NK T cell	type II NK T cell secreting interleukin-4	develops from
CL:0008017	CL:0008002	adult skeletal muscle myoblast	skeletal muscle fiber	develops into
CL:0000566	CL:0000037	angioblastic mesenchymal cell	hematopoietic stem cell	develops from
CL:0002223	CL:0002228	anterior lens cell	primary lens fiber	develops from
CL:4042022	CL:0000127	astrocyte-restricted precursor	astrocyte	develops into
CL:0000770	CL:0000043	band form basophil	mature basophil	develops from
CL:0000774	CL:0000041	band form eosinophil	mature eosinophil	develops from
CL:0002028	CL:0000613	basophil mast progenitor cell	basophil progenitor cell	develops from
CL:0002028	CL:0000831	basophil mast progenitor cell	mast cell progenitor	develops from
CL:0000613	CL:0000829	basophil progenitor cell	basophilic myeloblast	develops from
CL:0000549	CL:0000550	basophilic erythroblast	polychromatophilic erythroblast	develops from
CL:0000769	CL:0000770	basophilic metamyelocyte	band form basophil	develops from
CL:0000829	CL:0000830	basophilic myeloblast	basophilic promyelocyte	develops from
CL:0000614	CL:0000769	basophilic myelocyte	basophilic metamyelocyte	develops from
CL:0000830	CL:0000768	basophilic promyelocyte	immature basophil	develops from
CL:0002335	CL:0000449	brown preadipocyte	brown adipocyte	develops from
CL:0000569	CL:0002494	cardiac mesenchymal cell	cardiocyte	develops into
CL:0000513	CL:0000746	cardiac muscle myoblast	cardiac muscle cell	develops from
CL:0010021	CL:0000746	cardiac myoblast	cardiac muscle cell	develops into
CL:0000465	CL:0000193	cardioblast (sensu Arthropoda)	cardiac muscle cell (sensu Arthopoda)	develops from
CL:0000061	CL:0000141	cementoblast	cementocyte	develops from
CL:0002362	CL:0001031	cerebellar granule cell precursor	cerebellar granule cell	directly develops from
CL:0000058	CL:0000138	chondroblast	chondrocyte	develops from
CL:0007006	CL:0007005	chordamesodermal cell	notochordal cell	develops from
CL:0000135	CL:1000693	circulating fibrocyte	kidney interstitial fibrocyte	develops from
CL:0000860	CL:0000861	classical monocyte	elicited macrophage	develops from
CL:0000860	CL:0002393	classical monocyte	intermediate monocyte	develops from
CL:0000860	CL:4072015	classical monocyte	monocyte-derived Kupffer cell	develops from
CL:4023059	CL:4072001	committed oligodendrocyte precursor	newly formed oligodendrocyte	directly develops from
CL:0001029	CL:0000992	common dendritic progenitor	immature CD11c-low plasmacytoid dendritic cell	develops from
CL:0001029	CL:0000840	common dendritic progenitor	immature conventional dendritic cell	develops from
CL:0001029	CL:0002010	common dendritic progenitor	pre-conventional dendritic cell	develops from
CL:0000051	CL:0000542	common lymphoid progenitor	lymphocyte	develops from
CL:0000051	CL:0000826	common lymphoid progenitor	pro-B cell	develops from
CL:0000051	CL:0000825	common lymphoid progenitor	pro-NK cell	develops from
CL:0000051	CL:0000827	common lymphoid progenitor	pro-T cell	develops from
CL:0000049	CL:0000763	common myeloid progenitor	myeloid cell	develops from
CL:0000049	CL:0000766	common myeloid progenitor	myeloid leukocyte	develops from
CL:4033084	CL:0000711	cuboidal granulosa cell	cumulus granulosa cell	develops from
CL:4033084	CL:4033067	cuboidal granulosa cell	mural granulosa cell	develops from
CL:0005005	CL:0000747	cyanoblast	cyanophore	develops from
CL:0000722	CL:0000026	cystoblast	invertebrate nurse cell	develops from
CL:4033044	CL:4030034	deuterosomal cell	respiratory tract multiciliated cell	directly develops from
CL:0002428	CL:0002429	double-positive blast	CD69-positive double-positive thymocyte	develops from
CL:0000809	CL:0000810	double-positive, alpha-beta thymocyte	CD4-positive, alpha-beta thymocyte	develops from
CL:0000809	CL:0000811	double-positive, alpha-beta thymocyte	CD8-positive, alpha-beta thymocyte	develops from
CL:0000809	CL:0000914	double-positive, alpha-beta thymocyte	immature NK T cell	develops from
CL:0000809	CL:0000940	double-positive, alpha-beta thymocyte	mucosal-associated invariant T cell	develops from
CL:0000809	CL:0000903	double-positive, alpha-beta thymocyte	natural T-regulatory cell	develops from
CL:0002425	CL:0000894	early T lineage precursor	DN1 thymic pro-T cell	develops from
CL:0000936	CL:0001025	early lymphoid progenitor	Kit-positive, Sca1-positive common lymphoid progenitor	develops from
CL:0002046	CL:0002048	early pro-B cell	late pro-B cell	develops from
CL:4030036	CL:4030037	early spermatid	late spermatid	develops from
CL:0002077	CL:0007000	ecto-epithelial cell	preameloblast	develops from
CL:0000221	CL:0002077	ectodermal cell	ecto-epithelial cell	develops from
